#Month   MinTemp MaxTemp Rainfall RainyDays
Jan	-15.1	-8.5	42.1	10
Feb 	-14.1 	-8.1 	33.6 	9
Mar 	-9.4 	-2.8 	35.6 	9
Apr 	-4.5 	2.7 	30.9 	8
May 	1.8 	10.2 	35.9 	7
Jun 	8.1 	16.8 	59.1 	9
Jul 	11.0 	19.4 	69.1 	10
Aug 	8.6 	16.1 	71.7 	10
Sep 	3.8 	10.0 	54.0 	9
Oct 	-2.0 	2.6 	54.6 	11
Nov 	-8.7 	-3.5 	48.6 	12
Dec 	-13.3 	-6.9 	41.7 	10
